# Measured transfer FRF for the exponentially tapered rod - accelerance in m/(s^2 N)
# frequency(Hz) real(accelerance) imag(accelerance)
2.75780e+02 2.23583e-01 -8.12025e-03
2.76560e+02 2.13926e-01 1.31484e-02
2.77340e+02 2.24303e-01 -1.80814e-03
2.78130e+02 2.15771e-01 -5.05402e-03
2.78910e+02 1.91598e-01 -5.92750e-03
2.79690e+02 2.24784e-01 -1.50960e-02
2.80470e+02 2.02646e-01 -5.47106e-03
2.81250e+02 2.07268e-01 -8.45336e-03
2.82030e+02 2.17290e-01 2.91246e-03
2.82810e+02 2.18443e-01 2.70675e-03
2.83590e+02 2.09041e-01 -3.46475e-03
2.84380e+02 2.09050e-01 -2.90762e-03
2.85160e+02 2.09955e-01 7.81720e-03
2.85940e+02 1.99778e-01 -1.71168e-02
2.86720e+02 2.36819e-01 2.29168e-03
2.87500e+02 2.24480e-01 4.75862e-03
2.88280e+02 2.23331e-01 8.44053e-03
2.89060e+02 2.35594e-01 -1.33182e-02
2.89840e+02 2.20369e-01 -5.23465e-04
2.90630e+02 2.25046e-01 -1.24555e-02
2.91410e+02 2.24550e-01 -1.32459e-04
2.92190e+02 2.32400e-01 9.88266e-03
2.92970e+02 2.32972e-01 -1.65595e-02
2.93750e+02 2.02021e-01 8.26375e-03
2.94530e+02 2.25016e-01 -3.26399e-03
2.95310e+02 2.05524e-01 -1.52909e-03
2.96090e+02 2.19256e-01 1.17359e-02
2.96880e+02 2.06052e-01 1.29716e-02
2.97660e+02 2.09365e-01 1.49744e-02
2.98440e+02 2.48041e-01 5.39106e-03
2.99220e+02 2.39698e-01 1.12066e-02
3.00000e+02 2.29140e-01 4.26890e-03
3.00780e+02 2.31596e-01 2.41374e-02
3.01560e+02 2.38020e-01 -4.36534e-03
3.02340e+02 2.06999e-01 8.88576e-03
3.03130e+02 2.37160e-01 -7.60665e-05
3.03910e+02 2.13534e-01 1.06666e-02
3.04690e+02 2.14218e-01 -7.79363e-03
3.05470e+02 2.16594e-01 -9.67865e-03
3.06250e+02 2.17602e-01 -8.28907e-03
3.07030e+02 2.25590e-01 1.01947e-02
3.07810e+02 2.11467e-01 -1.62481e-02
3.08590e+02 2.29926e-01 9.68620e-03
3.09380e+02 2.22308e-01 1.52501e-02
3.10160e+02 2.36038e-01 -9.64413e-04
3.10940e+02 2.25379e-01 6.03009e-03
3.11720e+02 2.43879e-01 7.02259e-03
3.12500e+02 2.35130e-01 -5.30834e-03
3.13280e+02 2.56133e-01 -1.07960e-02
3.14060e+02 2.27593e-01 -3.46144e-02
3.14840e+02 2.51946e-01 -4.19200e-02
3.15630e+02 2.30147e-01 -5.75783e-02
3.16410e+02 2.11563e-01 -3.96158e-02
3.17190e+02 1.93551e-01 -2.89879e-02
3.17970e+02 1.91406e-01 -3.11251e-02
3.18750e+02 1.94527e-01 -4.54963e-03
3.19530e+02 1.94912e-01 -2.84693e-02
3.20310e+02 2.11002e-01 -1.82551e-02
3.21090e+02 2.09015e-01 -3.82317e-03
3.21880e+02 2.02752e-01 -7.48843e-03
3.22660e+02 2.08015e-01 -1.33081e-02
3.23440e+02 2.15789e-01 -1.08129e-02
3.24220e+02 2.12132e-01 -1.84536e-03
3.25000e+02 2.11064e-01 -1.76434e-02
3.25780e+02 2.15760e-01 -1.19788e-04
3.26560e+02 2.02079e-01 -7.06414e-04
3.27340e+02 2.03827e-01 -2.28793e-03
3.28130e+02 2.12957e-01 -2.33049e-03
3.28910e+02 2.18374e-01 -2.64433e-03
3.29690e+02 2.20925e-01 -2.57553e-03
3.30470e+02 2.18911e-01 -1.43302e-02
3.31250e+02 2.07902e-01 -9.74730e-03
3.32030e+02 2.16273e-01 1.31149e-02
3.32810e+02 2.15868e-01 6.94347e-03
3.33590e+02 2.10268e-01 -9.22755e-03
3.34380e+02 2.11620e-01 7.13182e-03
3.35160e+02 2.21633e-01 -2.07222e-02
3.35940e+02 1.99627e-01 6.72624e-03
3.36720e+02 2.21530e-01 -1.53378e-02
3.37500e+02 2.17295e-01 -1.43181e-03
3.38280e+02 2.27380e-01 -2.95826e-04
3.39060e+02 2.13172e-01 4.95593e-03
3.39840e+02 2.05825e-01 -4.30136e-03
3.40630e+02 2.17347e-01 -1.23875e-02
3.41410e+02 2.25418e-01 1.00380e-03
3.42190e+02 2.16110e-01 -1.88237e-04
3.42970e+02 2.22486e-01 -4.43743e-03
3.43750e+02 2.10529e-01 5.85339e-03
3.44530e+02 2.05338e-01 5.45155e-03
3.45310e+02 2.17400e-01 6.92284e-03
3.46090e+02 2.23812e-01 -7.26546e-03
3.46880e+02 2.23470e-01 -3.45955e-04
3.47660e+02 1.98913e-01 -1.34911e-02
3.48440e+02 2.16572e-01 -1.81130e-03
3.49220e+02 2.09418e-01 1.18010e-02
3.50000e+02 1.98329e-01 -5.62703e-04
3.50780e+02 2.23553e-01 -5.47640e-03
3.51560e+02 2.28416e-01 -6.55140e-03
3.52340e+02 1.90294e-01 -2.14576e-02
3.53130e+02 2.04942e-01 8.04647e-03
3.53910e+02 2.19601e-01 -6.60161e-03
3.54690e+02 2.29281e-01 1.40303e-02
3.55470e+02 2.27706e-01 -1.35868e-03
3.56250e+02 2.01803e-01 1.96799e-02
3.57030e+02 2.16936e-01 4.84909e-03
3.57810e+02 2.22239e-01 8.46841e-03
3.58590e+02 2.35124e-01 -4.13653e-03
3.59380e+02 2.24797e-01 1.80496e-02
3.60160e+02 2.21937e-01 9.72878e-03
3.60940e+02 2.05934e-01 -7.47893e-03
3.61720e+02 2.12992e-01 -7.38202e-03
3.62500e+02 2.05226e-01 -9.37740e-03
3.63280e+02 1.98744e-01 -3.23925e-03
3.64060e+02 2.20714e-01 -1.19994e-02
3.64840e+02 2.14426e-01 5.25281e-03
3.65630e+02 1.92337e-01 9.82848e-04
3.66410e+02 2.10207e-01 9.90978e-03
3.67190e+02 2.06586e-01 5.89099e-03
3.67970e+02 2.34031e-01 -5.24471e-03
3.68750e+02 2.19927e-01 -1.09278e-03
3.69530e+02 2.09635e-01 1.51265e-03
3.70310e+02 2.08849e-01 -5.03159e-03
3.71090e+02 2.26423e-01 1.40807e-02
3.71880e+02 2.29956e-01 1.62547e-02
3.72660e+02 2.21850e-01 -1.59079e-02
3.73440e+02 2.10851e-01 -1.97628e-03
3.74220e+02 1.92055e-01 -2.26813e-02
3.75000e+02 1.99361e-01 9.76085e-03
3.75780e+02 2.46864e-01 -1.48450e-02
3.76560e+02 2.20741e-01 1.02690e-02
3.77340e+02 2.09585e-01 1.49795e-02
3.78130e+02 2.17541e-01 -7.78828e-03
3.78910e+02 2.15989e-01 1.15887e-02
3.79690e+02 2.07173e-01 -1.76110e-03
3.80470e+02 2.43476e-01 -3.44445e-03
3.81250e+02 2.16960e-01 -3.84498e-04
3.82030e+02 2.10138e-01 8.06988e-04
3.82810e+02 2.33428e-01 -1.62025e-02
3.83590e+02 2.14056e-01 6.66416e-03
3.84380e+02 2.12956e-01 -3.17980e-03
3.85160e+02 2.19797e-01 -1.99474e-02
3.85940e+02 2.24048e-01 -1.04095e-02
3.86720e+02 2.13502e-01 -3.16815e-02
3.87500e+02 2.22203e-01 -3.45135e-03
3.88280e+02 2.08739e-01 -1.50420e-02
3.89060e+02 2.10447e-01 -3.71085e-03
3.89840e+02 2.18723e-01 -1.31804e-02
3.90630e+02 2.15993e-01 -3.48707e-02
3.91410e+02 2.13779e-01 4.67289e-03
3.92190e+02 2.30100e-01 -3.73669e-03
3.92970e+02 2.30863e-01 -7.03978e-03
3.93750e+02 1.93657e-01 -2.16228e-02
3.94530e+02 2.17771e-01 -6.89661e-03
3.95310e+02 2.15123e-01 1.03169e-02
3.96090e+02 2.16456e-01 -1.25536e-03
3.96880e+02 2.27963e-01 -1.32920e-02
3.97660e+02 2.11755e-01 -1.42133e-03
3.98440e+02 2.07423e-01 -1.47980e-02
3.99220e+02 2.19580e-01 -2.97121e-03
4.00000e+02 2.10918e-01 -8.46464e-04
4.00780e+02 2.24758e-01 -2.00461e-02
4.01560e+02 2.14645e-01 3.26954e-03
4.02340e+02 2.26452e-01 2.87788e-03
4.03130e+02 2.34141e-01 -1.25962e-02
4.03910e+02 2.25838e-01 8.34525e-04
4.04690e+02 2.12286e-01 8.08619e-03
4.05470e+02 2.27908e-01 8.05907e-03
4.06250e+02 2.31208e-01 1.12274e-02
4.07030e+02 2.16372e-01 -1.55545e-02
4.07810e+02 2.18767e-01 3.45616e-02
4.08590e+02 2.35968e-01 -1.37798e-02
4.09380e+02 2.15501e-01 -1.22714e-02
4.10160e+02 2.34787e-01 -3.94238e-03
4.10940e+02 2.29448e-01 -1.83376e-02
4.11720e+02 2.25475e-01 -1.44911e-02
4.12500e+02 2.11690e-01 -2.91278e-03
4.13280e+02 2.18493e-01 -1.80401e-03
4.14060e+02 2.22799e-01 -6.37239e-03
4.14840e+02 2.31773e-01 -2.80654e-03
4.15630e+02 2.27838e-01 9.98670e-04
4.16410e+02 2.29521e-01 -6.38064e-03
4.17190e+02 2.23040e-01 -1.41818e-02
4.17970e+02 2.18817e-01 -4.34057e-03
4.18750e+02 2.16070e-01 -1.57494e-04
4.19530e+02 2.13438e-01 -8.92190e-04
4.20310e+02 2.35845e-01 -3.41638e-03
4.21090e+02 2.04297e-01 6.49666e-03
4.21880e+02 2.25203e-01 3.49354e-03
4.22660e+02 2.20924e-01 -1.80522e-02
4.23440e+02 2.15782e-01 -7.13335e-03
4.24220e+02 2.13417e-01 2.37456e-03
4.25000e+02 2.13007e-01 -1.07356e-03
4.25780e+02 2.20481e-01 -9.37388e-03
4.26560e+02 2.17440e-01 5.88718e-03
4.27340e+02 2.32589e-01 -5.66213e-04
4.28130e+02 2.13391e-01 1.92142e-03
4.28910e+02 2.30958e-01 -1.55354e-02
4.29690e+02 2.33208e-01 1.63435e-02
4.30470e+02 2.31073e-01 4.15442e-03
4.31250e+02 2.28220e-01 -4.69458e-04
4.32030e+02 2.13673e-01 -7.66287e-03
4.32810e+02 2.28700e-01 -1.42355e-04
4.33590e+02 2.25899e-01 -2.21921e-03
4.34380e+02 2.20269e-01 -9.40648e-03
4.35160e+02 2.16319e-01 -1.00004e-02
4.35940e+02 2.36743e-01 1.50357e-02
4.36720e+02 2.17701e-01 2.86647e-03
4.37500e+02 2.19093e-01 1.70691e-03
4.38280e+02 2.23592e-01 6.95088e-03
