# Measured input FRF for the exponentially tapered rod - accelerance in m/(s^2 N)
# frequency(Hz) real(accelerance) imag(accelerance)
3.12500e+02 2.03292e-01 6.06571e-04
3.13280e+02 2.01479e-01 -2.71019e-04
3.14060e+02 2.02927e-01 1.88097e-03
3.14840e+02 2.04170e-01 -1.13828e-03
3.15630e+02 2.02511e-01 2.58419e-03
3.16410e+02 2.02343e-01 2.17135e-03
3.17190e+02 2.03075e-01 -1.51318e-03
3.17970e+02 2.04495e-01 2.47862e-03
3.18750e+02 2.03233e-01 -1.86100e-04
3.19530e+02 2.02682e-01 -3.25018e-04
3.20310e+02 2.03869e-01 1.51147e-03
3.21090e+02 2.04193e-01 9.09843e-04
3.21880e+02 2.04940e-01 1.44077e-04
3.22660e+02 2.01276e-01 -2.35641e-03
3.23440e+02 2.03695e-01 -2.54792e-04
3.24220e+02 1.99321e-01 -8.36463e-04
3.25000e+02 2.01503e-01 -1.78988e-03
3.25780e+02 2.02329e-01 -3.50672e-04
3.26560e+02 2.03236e-01 -4.27138e-03
3.27340e+02 2.01560e-01 -1.09065e-03
3.28130e+02 2.01981e-01 1.48275e-03
3.28910e+02 2.03751e-01 8.58304e-05
3.29690e+02 2.01456e-01 -9.27198e-04
3.30470e+02 2.01604e-01 -1.46670e-03
3.31250e+02 2.02545e-01 1.79853e-03
3.32030e+02 2.03754e-01 2.69192e-04
3.32810e+02 2.03496e-01 1.31728e-03
3.33590e+02 2.02748e-01 -2.67688e-03
3.34380e+02 2.03899e-01 -2.53367e-03
3.35160e+02 2.00719e-01 1.23395e-03
3.35940e+02 2.00716e-01 2.60762e-03
3.36720e+02 2.02973e-01 4.79837e-04
3.37500e+02 2.03468e-01 8.74602e-04
3.38280e+02 2.03223e-01 6.77606e-04
3.39060e+02 2.02298e-01 -1.03730e-04
3.39840e+02 2.03825e-01 -1.12739e-04
3.40630e+02 2.03542e-01 -1.38365e-03
3.41410e+02 2.03994e-01 4.34460e-04
3.42190e+02 2.02739e-01 1.52377e-03
3.42970e+02 2.03451e-01 7.88601e-04
3.43750e+02 2.02970e-01 2.67253e-04
3.44530e+02 2.03987e-01 1.92144e-03
3.45310e+02 2.02757e-01 2.22823e-03
3.46090e+02 2.04518e-01 5.16035e-04
3.46880e+02 2.04186e-01 -1.30006e-03
3.47660e+02 2.02049e-01 6.64877e-04
3.48440e+02 1.99763e-01 1.78716e-04
3.49220e+02 2.03578e-01 -8.31867e-04
3.50000e+02 2.04454e-01 9.88651e-04
3.50780e+02 2.02649e-01 1.15497e-03
3.51560e+02 2.01584e-01 -2.51441e-05
3.52340e+02 2.02719e-01 -1.23471e-03
3.53130e+02 2.02400e-01 -3.94267e-04
3.53910e+02 2.02119e-01 -1.18915e-03
3.54690e+02 2.01165e-01 5.32269e-04
3.55470e+02 2.03547e-01 1.89764e-03
3.56250e+02 2.01676e-01 8.76344e-04
3.57030e+02 2.02306e-01 6.32543e-04
3.57810e+02 2.01600e-01 -2.95053e-04
3.58590e+02 2.01498e-01 9.09649e-04
3.59380e+02 2.02205e-01 2.41422e-04
3.60160e+02 2.01810e-01 3.78030e-04
3.60940e+02 2.02426e-01 1.11986e-03
3.61720e+02 2.02060e-01 3.62123e-04
3.62500e+02 2.02496e-01 2.99835e-03
3.63280e+02 2.02412e-01 -6.87752e-05
3.64060e+02 2.00261e-01 4.93975e-04
3.64840e+02 2.01832e-01 4.88620e-04
3.65630e+02 2.03978e-01 1.23876e-03
3.66410e+02 2.02715e-01 4.27151e-04
3.67190e+02 2.00459e-01 -7.72119e-05
3.67970e+02 2.03173e-01 1.49178e-04
3.68750e+02 2.03708e-01 7.68606e-04
3.69530e+02 2.01109e-01 2.36988e-03
3.70310e+02 2.03854e-01 -3.05419e-04
3.71090e+02 2.03663e-01 1.34393e-03
3.71880e+02 2.02727e-01 3.16831e-04
3.72660e+02 2.01339e-01 2.43876e-03
3.73440e+02 2.03244e-01 -8.69745e-04
3.74220e+02 2.03795e-01 -1.18133e-03
3.75000e+02 2.03165e-01 -1.88357e-04
3.75780e+02 2.03275e-01 1.67065e-03
3.76560e+02 2.01985e-01 -1.47119e-03
3.77340e+02 2.03421e-01 1.26572e-03
3.78130e+02 2.03121e-01 6.90209e-04
3.78910e+02 2.02349e-01 -1.75871e-03
3.79690e+02 2.03724e-01 -1.02291e-03
3.80470e+02 2.03572e-01 1.15339e-03
3.81250e+02 2.03622e-01 3.71541e-04
3.82030e+02 2.03512e-01 1.09454e-03
3.82810e+02 2.03167e-01 -1.97082e-04
3.83590e+02 2.02436e-01 2.02908e-03
3.84380e+02 2.04189e-01 1.41694e-03
3.85160e+02 2.02210e-01 -1.42280e-04
3.85940e+02 2.03574e-01 -4.63274e-04
