# Measured flexural accelerances (m/(s^2N)) at four locations along the axis, measured at two points across the diameter of the beam
# to demonstrate that the response of the system does not follow the fundamental beam theories 
# at larger diameters and/or high frequencies 
# frequency, at 0.3 m (1), at 0.3 m (2), at 0.8 m (1), at 0.8 m (2), at 1.4 m (1), at 1.4 m (2), at 2.0 m (1), at 2.0 m (2)
0.000000e+00+0.000000e+00j,-1.213300e+00+1.485864e-16j,-5.170800e-01+6.332404e-17j,-4.716200e-01+5.775679e-17j,-6.023800e-02+7.377027e-18j,-8.020600e-01+9.822402e-17j,-8.976800e-01+1.099341e-16j,-2.615100e+00+3.202574e-16j,1.374000e+00+0.000000e+00j
4.921900e+01+0.000000e+00j,1.435795e-02+4.501129e-04j,-1.522287e-02+1.452389e-03j,2.575886e-03+6.984530e-04j,-3.913218e-04-8.399577e-04j,-2.651139e-02-1.804601e-04j,2.615851e-02+2.789411e-04j,9.863205e-02+2.549869e-03j,-9.948854e-02-4.100229e-03j
5.000000e+01+0.000000e+00j,2.925614e-02-2.051125e-02j,-1.662398e-02-2.321148e-05j,1.469700e-02-2.682239e-02j,-1.120607e-03+2.131591e-04j,-5.181650e-02-1.544717e-02j,2.566279e-02-1.787946e-03j,6.656505e-02-4.287769e-03j,-9.536149e-02-4.313662e-03j
5.078100e+01+0.000000e+00j,1.448772e-02-7.279844e-04j,-1.481740e-02+1.137535e-03j,2.924782e-03+1.036362e-05j,-4.098346e-03+1.315835e-03j,-2.672456e-02-6.718028e-04j,2.493995e-02-2.847678e-03j,9.268892e-02+2.985738e-03j,-9.669282e-02-4.999769e-03j
5.156300e+01+0.000000e+00j,1.480395e-02-5.456562e-04j,-1.436013e-02-1.579043e-04j,3.044444e-03-1.086174e-03j,-2.462847e-03-1.412199e-03j,-2.487353e-02-8.772961e-04j,2.265771e-02+2.561172e-03j,8.714069e-02+2.683549e-03j,-9.020848e-02-2.567022e-03j
5.234400e+01+0.000000e+00j,1.422787e-02+1.789760e-04j,-1.528225e-02-7.367326e-04j,3.885584e-03-1.016320e-03j,-2.400150e-03-1.427939e-03j,-2.606265e-02-1.338519e-03j,2.411974e-02+1.115997e-04j,8.728671e-02+2.685149e-03j,-9.004955e-02-2.861386e-03j
5.312500e+01+0.000000e+00j,1.393100e-02-6.020287e-04j,-1.270332e-02-1.042171e-03j,2.543733e-03-1.847327e-05j,-1.085546e-03+9.940224e-04j,-2.614107e-02-8.534864e-04j,2.532980e-02+1.373232e-03j,8.593521e-02+2.480544e-03j,-8.818790e-02-3.002539e-03j
5.390600e+01+0.000000e+00j,1.381896e-02+3.731337e-04j,-1.267853e-02-1.290074e-03j,3.079201e-03+9.438160e-04j,-1.338539e-03+2.090603e-03j,-2.679523e-02-6.455024e-04j,2.507778e-02-1.403119e-03j,8.247707e-02+1.569384e-03j,-8.296495e-02-2.578290e-03j
5.468800e+01+0.000000e+00j,1.376860e-02+3.855779e-04j,-1.348083e-02-1.001799e-03j,3.824618e-03-8.793272e-04j,-3.118207e-03-8.982273e-05j,-2.677241e-02+1.775640e-04j,2.622214e-02+6.422748e-04j,8.093229e-02+1.830816e-03j,-8.371044e-02-2.762335e-03j
5.546900e+01+0.000000e+00j,1.356746e-02+8.328165e-04j,-1.588759e-02-3.744118e-04j,3.438394e-03+5.280154e-04j,-4.316061e-03-1.662834e-03j,-2.659111e-02-4.548647e-04j,2.657265e-02+8.732879e-04j,7.687465e-02+1.320955e-03j,-8.292161e-02+2.620403e-03j
5.625000e+01+0.000000e+00j,1.340972e-02+5.250646e-04j,-1.263709e-02+2.713290e-04j,4.220318e-03+2.638848e-05j,-2.637804e-03+9.700002e-04j,-2.625045e-02-1.695204e-04j,2.602153e-02-5.801965e-04j,7.644031e-02+2.235714e-03j,-8.155497e-02+1.565935e-03j
5.703100e+01+0.000000e+00j,1.363454e-02+6.281785e-04j,-1.316881e-02+7.125080e-05j,2.746567e-03-4.694644e-04j,-3.246615e-03-9.131937e-04j,-2.710072e-02+1.229800e-04j,2.532061e-02+8.829763e-04j,7.556894e-02+1.103493e-03j,-7.955585e-02+2.527941e-03j
5.781300e+01+0.000000e+00j,1.292572e-02-5.155353e-04j,-1.549249e-02+2.728956e-03j,3.650630e-03+2.260719e-05j,-4.393947e-03+1.955392e-03j,-2.615030e-02-1.916951e-04j,2.712210e-02-9.288307e-04j,7.469167e-02+2.020836e-03j,-7.571823e-02+5.786321e-03j
5.859400e+01+0.000000e+00j,1.339861e-02+4.450396e-04j,-1.240704e-02-1.251511e-03j,3.728639e-03-1.382283e-04j,-3.420964e-03-8.002209e-05j,-2.660290e-02-3.343195e-04j,2.803354e-02+1.195050e-03j,7.533666e-02+2.274764e-03j,-7.207356e-02+7.044581e-04j
5.937500e+01+0.000000e+00j,1.316715e-02-3.573506e-04j,-1.378243e-02+1.819386e-03j,3.692899e-03+2.070664e-04j,-5.144134e-03-1.165886e-03j,-2.734300e-02-9.544507e-06j,2.785796e-02-3.372490e-04j,7.342749e-02+1.049970e-03j,-7.169702e-02+3.754081e-04j
6.015600e+01+0.000000e+00j,1.270459e-02+4.623924e-04j,-1.477808e-02-7.279398e-04j,3.921172e-03-2.063921e-04j,-4.800484e-03+1.224520e-03j,-2.681211e-02-6.505914e-04j,2.761032e-02+3.843619e-04j,7.256778e-02+2.195975e-03j,-6.967205e-02-7.417921e-04j
6.093800e+01+0.000000e+00j,1.273897e-02-2.816124e-05j,-1.617666e-02-1.466498e-03j,4.083074e-03-9.153139e-05j,-4.582361e-03+7.143014e-04j,-2.685484e-02+9.374144e-05j,2.969120e-02-1.594817e-03j,7.229322e-02+2.840535e-03j,-7.047454e-02-1.894676e-03j
6.171900e+01+0.000000e+00j,1.354035e-02+5.113164e-04j,-1.487615e-02-8.942286e-04j,3.895900e-03-7.466363e-04j,-6.009887e-03-1.228188e-03j,-2.786739e-02-8.708996e-04j,2.593416e-02+2.083621e-04j,7.287655e-02+3.808457e-03j,-7.191308e-02-3.391335e-03j
6.250000e+01+0.000000e+00j,1.321595e-02-3.749648e-05j,-1.451296e-02-8.698544e-04j,4.085415e-03-3.209122e-04j,-3.243461e-03+1.230132e-03j,-2.779632e-02-8.395428e-04j,2.842812e-02-8.885224e-04j,7.240456e-02+4.867622e-03j,-7.272376e-02-4.486197e-03j
6.328100e+01+0.000000e+00j,1.321023e-02+2.703026e-04j,-1.345572e-02+1.927014e-03j,3.886274e-03+3.694963e-04j,-4.834521e-03+3.304323e-04j,-2.733078e-02-3.482377e-04j,2.901328e-02-4.644940e-04j,7.272350e-02+5.040938e-03j,-7.397417e-02-5.146830e-03j
6.406300e+01+0.000000e+00j,1.254067e-02-1.823191e-04j,-1.401473e-02+7.541041e-04j,3.945626e-03-3.275650e-04j,-4.740437e-03-4.130672e-04j,-2.802321e-02-2.103158e-04j,2.668676e-02+7.021734e-04j,7.361888e-02+4.259534e-03j,-7.337827e-02-3.267923e-03j
